created,uuid,link
2024-06-01 01:37:57,49577a11-51b9-490a-b1f0-df17335219de,https://s3.ritm.media/yappy-db-duplicates/49577a11-51b9-490a-b1f0-df17335219de.mp4
2024-06-01 04:42:10,4e1f7fad-5008-4216-9849-550a00f1e35f,https://s3.ritm.media/yappy-db-duplicates/4e1f7fad-5008-4216-9849-550a00f1e35f.mp4
2024-06-01 08:44:48,337fdbe6-2bc7-4bc7-931e-d94ada927ede,https://s3.ritm.media/yappy-db-duplicates/337fdbe6-2bc7-4bc7-931e-d94ada927ede.mp4
2024-06-01 10:11:48,35138a88-0249-405e-91b4-8a36b1e2e730,https://s3.ritm.media/yappy-db-duplicates/35138a88-0249-405e-91b4-8a36b1e2e730.mp4
2024-06-01 12:23:29,322f4312-3d46-401b-8cd9-80a0d06347ed,https://s3.ritm.media/yappy-db-duplicates/322f4312-3d46-401b-8cd9-80a0d06347ed.mp4
2024-06-01 13:17:58,154ef8f1-b0ce-49cb-b5b1-34d8f975875d,https://s3.ritm.media/yappy-db-duplicates/154ef8f1-b0ce-49cb-b5b1-34d8f975875d.mp4
2024-06-01 18:00:02,1c529118-dd4f-4c2d-a01a-1c5bf363ee4b,https://s3.ritm.media/yappy-db-duplicates/1c529118-dd4f-4c2d-a01a-1c5bf363ee4b.mp4
2024-06-01 18:09:34,22d891cc-563a-48c9-9b6e-368829598e91,https://s3.ritm.media/yappy-db-duplicates/22d891cc-563a-48c9-9b6e-368829598e91.mp4
2024-06-01 19:50:10,22ee80a3-d9ef-48d4-83d7-9c97cc7030c2,https://s3.ritm.media/yappy-db-duplicates/22ee80a3-d9ef-48d4-83d7-9c97cc7030c2.mp4
2024-06-01 19:50:44,036cb3a9-4505-43e1-a781-b58534bfecce,https://s3.ritm.media/yappy-db-duplicates/036cb3a9-4505-43e1-a781-b58534bfecce.mp4
2024-06-01 20:32:01,045265e5-0d4c-4372-b960-3087f685eb97,https://s3.ritm.media/yappy-db-duplicates/045265e5-0d4c-4372-b960-3087f685eb97.mp4
2024-06-01 20:35:54,1d1ad7f0-7e04-4f6c-bea5-58ef8c5d2b4e,https://s3.ritm.media/yappy-db-duplicates/1d1ad7f0-7e04-4f6c-bea5-58ef8c5d2b4e.mp4
2024-06-01 22:11:08,3efc354f-6f56-4427-983b-63030403bb6d,https://s3.ritm.media/yappy-db-duplicates/3efc354f-6f56-4427-983b-63030403bb6d.mp4
2024-06-02 00:36:27,1c2de832-9df0-46fe-88bb-d125596fdae1,https://s3.ritm.media/yappy-db-duplicates/1c2de832-9df0-46fe-88bb-d125596fdae1.mp4
2024-06-02 01:49:34,07b64719-3708-425b-addd-509879681642,https://s3.ritm.media/yappy-db-duplicates/07b64719-3708-425b-addd-509879681642.mp4
2024-06-02 02:09:19,14543718-8b24-4c8a-b21a-9a8420fa9557,https://s3.ritm.media/yappy-db-duplicates/14543718-8b24-4c8a-b21a-9a8420fa9557.mp4
2024-06-02 02:46:40,1c13b1e2-ad67-496f-8571-63d8bcc75a01,https://s3.ritm.media/yappy-db-duplicates/1c13b1e2-ad67-496f-8571-63d8bcc75a01.mp4
2024-06-02 06:45:25,4620cee4-3432-4653-91ba-71c78e86b196,https://s3.ritm.media/yappy-db-duplicates/4620cee4-3432-4653-91ba-71c78e86b196.mp4
2024-06-02 08:10:04,360826c7-690e-40ac-b6be-19ac438924a0,https://s3.ritm.media/yappy-db-duplicates/360826c7-690e-40ac-b6be-19ac438924a0.mp4
